,CN,O,C,businessCategory,serialNumber,juristiction,issuer_CN,issuer_O,expired,notBefore,notAfter,verCode,time_collected
28,*.dietpower.com,,,,,,Encryption Everywhere DV TLS CA - G1,DigiCert Inc,False,b'20200804000000Z',b'20210818120000Z',0,1620575656.4241877
29,*.wpengine.com,,,,,,RapidSSL RSA CA 2018,DigiCert Inc,False,b'20190701000000Z',b'20210829120000Z',0,1620575658.3698335
31,Plesk,Plesk,CH,,,,Plesk,Plesk,True,b'20190911180904Z',b'20200910180904Z',10,1620575660.6293726
32,experienceworks.org,,,,,,R3,Let's Encrypt,False,b'20210412094108Z',b'20210711094108Z',0,1620575662.2140706
33,www.bibliotheque-institutdefrance.fr,,,,,,RapidSSL TLS DV RSA Mixed SHA256 2020 CA-1,DigiCert Inc,False,b'20201228000000Z',b'20211231235959Z',0,1620575662.4544492
34,okabashi.com,,,,,,R3,Let's Encrypt,False,b'20210412115059Z',b'20210711115059Z',0,1620575663.584683
35,www.house.gov,US House of Representatives,US,,,,DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,False,b'20210209000000Z',b'20220312235959Z',0,1620575664.0140693
37,bibliotheka.org,,,,,,R3,Let's Encrypt,False,b'20210420154921Z',b'20210719154921Z',0,1620575664.599189
39,mystic.org,,,,,,R3,Let's Encrypt,False,b'20210322194721Z',b'20210620194721Z',0,1620575665.239174
40,*.brevan.nl,,,,,,R3,Let's Encrypt,False,b'20210422090520Z',b'20210721090520Z',0,1620575665.500051
41,hidrografico.pt,Instituto Hidrográfico,PT,,,,GEANT OV RSA CA 4,GEANT Vereniging,False,b'20210301000000Z',b'20220301235959Z',0,1620575665.7999077
42,www.bloody.com,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",False,b'20200604075651Z',b'20220711082719Z',0,1620575668.6025887
45,martystuart.net,,,,,,R3,Let's Encrypt,False,b'20210323213240Z',b'20210621213240Z',0,1620575671.8599298
46,lachtal.at,,,,,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",False,b'20200826065421Z',b'20210919100522Z',0,1620575672.0572157
47,*.dathost.net,,,,,,R3,Let's Encrypt,False,b'20210310054041Z',b'20210608054041Z',0,1620575672.5354443
48,albemarleciderworks.com,,,,,,R3,Let's Encrypt,False,b'20210327130917Z',b'20210625130917Z',0,1620575672.7650383
49,nisbookstore.com,,,,,,R3,Let's Encrypt,False,b'20210420192026Z',b'20210719192026Z',0,1620575673.2855148
50,barefootmantafiji.com,,,,,,R3,Let's Encrypt,False,b'20210401202555Z',b'20210630202555Z',0,1620575675.6559653
51,herbpathy.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20191219000000Z',b'20211218235959Z',0,1620575677.201223
52,blogoflegends.com,,,,,,R3,Let's Encrypt,False,b'20210312073840Z',b'20210610073840Z',0,1620575679.4139435
53,*.rprod.com,,,,,,RapidSSL TLS DV RSA Mixed SHA256 2020 CA-1,DigiCert Inc,False,b'20210210000000Z',b'20220313235959Z',0,1620575681.6053734
54,woodbarnindia.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20201028000000Z',b'20211128235959Z',0,1620575682.0824306
56,steelsoccer.com,,,,,,R3,Let's Encrypt,False,b'20210406205144Z',b'20210705205144Z',0,1620575684.2783797
58,*.danbolig.dk,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",False,b'20190928163416Z',b'20210928163416Z',0,1620575684.7344713
60,*.ftm-maroc.com,,,,,,R3,Let's Encrypt,False,b'20210303003822Z',b'20210601003822Z',0,1620575686.7265546
61,*.ibroadlink.com,杭州博联智能科技股份有限公司,CN,,,,GeoTrust RSA CA 2018,DigiCert Inc,False,b'20190528000000Z',b'20210726120000Z',0,1620575689.8800247
62,www.wettbewerbsrecht-best.de,,,,,,R3,Let's Encrypt,False,b'20210313032855Z',b'20210611032855Z',0,1620575690.4135766
63,mallscenters.com,,,,,,R3,Let's Encrypt,False,b'20210301083113Z',b'20210530083113Z',0,1620575690.8091676
64,artbb.ru,,,,,,R3,Let's Encrypt,False,b'20210321211359Z',b'20210619211359Z',0,1620575692.2418818
66,smmplanner.com,,,,,,R3,Let's Encrypt,False,b'20210509123737Z',b'20210807123737Z',0,1620575693.9774587
67,gids.web.nl,,,,,,R3,Let's Encrypt,False,b'20210319232808Z',b'20210617232808Z',0,1620578118.514307
69,*.parkingcrew.net,Team Internet AG,DE,,,,Thawte TLS RSA CA G1,DigiCert Inc,False,b'20200720000000Z',b'20220918120000Z',0,1620575696.6947155
70,tern.org.au,,,,,,R3,Let's Encrypt,False,b'20210326052043Z',b'20210624052043Z',0,1620575697.3620055
72,holidaykitchens.com,,,,,,R3,Let's Encrypt,False,b'20210312072050Z',b'20210610072050Z',0,1620575698.1053066
73,*.epicenter.tv,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20210318000000Z',b'20220418235959Z',0,1620575698.3628652
74,*.azurewebsites.net,,,,,,Microsoft RSA TLS CA 01,Microsoft Corporation,False,b'20200928190001Z',b'20210928190001Z',0,1620575699.719238
75,misutilities.com,,,,,,Encryption Everywhere DV TLS CA - G1,DigiCert Inc,False,b'20200807000000Z',b'20210808120000Z',0,1620575704.0058951
76,haileybury.com,,,,,,R3,Let's Encrypt,False,b'20210411092546Z',b'20210710092546Z',0,1620575704.1976109
77,hillmanweb.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",False,b'20210310000000Z',b'20210608235959Z',0,1620575704.648271
78,skyrun.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",False,b'20210319000000Z',b'20210617235959Z',0,1620575705.129929
79,www.plunkettcooney.com,,,,,,R3,Let's Encrypt,False,b'20210423041551Z',b'20210722041551Z',0,1620575705.6042237
80,radio1045.com,,,,,,R3,Let's Encrypt,False,b'20210412002948Z',b'20210711002948Z',0,1620575708.1025448
81,autonomicresources.com,,,,,,R3,Let's Encrypt,False,b'20210324212555Z',b'20210622212555Z',0,1620575708.6687665
82,fsm2013.org,,,,,,Amazon,Amazon,False,b'20200917000000Z',b'20211017120000Z',0,1620575708.899291
83,cube-creative.com,,,,,,R3,Let's Encrypt,False,b'20210417084643Z',b'20210716084643Z',0,1620575709.0262754
84,www.ds-infocenter.de,,,,,,Thawte TLS RSA CA G1,DigiCert Inc,False,b'20210502000000Z',b'20220502235959Z',0,1620575709.2281885
85,whitewaterchallengers.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20200629000000Z',b'20210629235959Z',0,1620575709.738521
86,theflorencesresidencescondo.sg,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",False,b'20210417000000Z',b'20210716235959Z',0,1620575710.4744616
88,gazetavb.ru,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,True,b'20191024000000Z',b'20201023235959Z',10,1620575710.9909058
90,worthingtheatres.co.uk,,,,,,R3,Let's Encrypt,False,b'20210430212952Z',b'20210729212952Z',0,1620575712.6884515
91,pastillas-adelgazantes.eu,,,,,,R3,Let's Encrypt,False,b'20210316102755Z',b'20210614102755Z',0,1620575713.5417678
92,kasebsfouq.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",True,b'20201216000000Z',b'20210316235959Z',10,1620575713.8421984
94,www.marathoneindhoven.nl,,,,,,R3,Let's Encrypt,False,b'20210404004651Z',b'20210703004651Z',0,1620575714.241157
95,marketingwizdom.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",False,b'20210308000000Z',b'20210606235959Z',0,1620575714.3651388
96,inlife.de,,,,,,R3,Let's Encrypt,False,b'20210329141923Z',b'20210627141923Z',0,1620575714.5901473
97,cmss.org,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",False,b'20210331000000Z',b'20210629235959Z',0,1620575714.9870918
98,eldoradofruitsec.com,,,,,,R3,Let's Encrypt,False,b'20210504060107Z',b'20210802060107Z',0,1620575715.2049088
99,healthcareready.org,,,,,,R3,Let's Encrypt,False,b'20210426152618Z',b'20210725152618Z',0,1620575715.4925663
100,www.vaillant-group.com,Vaillant GmbH,DE,,,,GeoTrust SSL CA - G3,GeoTrust Inc.,True,b'20170601000000Z',b'20190601235959Z',10,1620575715.7664828
101,deinetorte.de,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20210427000000Z',b'20220528235959Z',0,1620575715.9532921
102,*.angstrem-mebel.ru,Angstrem,RU,,,,RU-CENTER High Assurance Services CA 2,RU-Center (ЗАО Региональный Сетевой Информационный Центр),False,b'20201228000000Z',b'20211228235959Z',0,1620575716.1368346
103,www.easternfront.org,,,,,,R3,Let's Encrypt,False,b'20210325055712Z',b'20210623055712Z',0,1620575716.5479836
105,*.prod.phx3.secureserver.net,,,,,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",False,b'20200114185622Z',b'20220114185622Z',0,1620575717.3181272
106,eltwhed.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",False,b'20210416000000Z',b'20210715235959Z',0,1620575717.959893
108,persianfootball.com,,,,,,R3,Let's Encrypt,False,b'20210328082242Z',b'20210626082242Z',0,1620575718.6264627
109,chopchop.me,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20210429000000Z',b'20220529235959Z',0,1620575718.9338005
111,ekusports.com,,,,,,R3,Let's Encrypt,False,b'20210429032958Z',b'20210728032958Z',0,1620575719.6226847
112,hospitalelderlifeprogram.org,,,,,,R3,Let's Encrypt,False,b'20210417205709Z',b'20210716205709Z',0,1620575720.2218714
113,naturpark-bayer-wald.de,,,,,,R3,Let's Encrypt,False,b'20210430124446Z',b'20210729124446Z',0,1620575720.6119592
114,www.musterring.com,Musterring International Josef Hoener GmbH & Co. KG,DE,,,,GeoTrust RSA CA 2018,DigiCert Inc,False,b'20191017000000Z',b'20210702120000Z',0,1620575720.8383327
115,szn24.ru,,,,,,R3,Let's Encrypt,False,b'20210307121138Z',b'20210605121138Z',0,1620575721.3004894
117,*.nosm.ca,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",False,b'20200716170014Z',b'20220716170014Z',0,1620575723.0031035
118,themensroomph.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",True,b'20200522000000Z',b'20200820235959Z',10,1620575723.4894314
119,castlemaker.de,,,,,,R3,Let's Encrypt,False,b'20210325210900Z',b'20210623210900Z',0,1620575723.7529104
120,www.xiliumbio.com,,,,,,R3,Let's Encrypt,False,b'20210319000041Z',b'20210617000041Z',0,1620575724.20288
121,*.myedu.com,Blackboard Inc,US,,,,DigiCert SHA2 Secure Server CA,DigiCert Inc,True,b'20190228000000Z',b'20200507120000Z',10,1620575726.0301564
122,goodthingsfoundation.org,,,,,,R3,Let's Encrypt,False,b'20210420082236Z',b'20210719082236Z',0,1620575726.2310283
123,*.webtitan.com,,,,,,RapidSSL RSA CA 2018,DigiCert Inc,False,b'20200217000000Z',b'20220312120000Z',0,1620575726.833512
124,www.ottawafoodbank.ca,,,,,,R3,Let's Encrypt,False,b'20210403142551Z',b'20210702142551Z',0,1620575728.972735
126,risknet.de,,,,,,R3,Let's Encrypt,False,b'20210328065948Z',b'20210626065948Z',0,1620575729.387515
127,ohnut.co,,,,,,R3,Let's Encrypt,False,b'20210506120823Z',b'20210804120823Z',0,1620575729.846189
128,www.businessbacker.com,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",False,b'20200727165446Z',b'20210727165446Z',0,1620575730.2581131
129,northamerica-daikin.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",False,b'20210318000000Z',b'20210616235959Z',0,1620575730.7223527
130,localhost,none,US,,,,localhost,none,False,b'20201105174415Z',b'20480322174415Z',18,1620575733.5106626
133,discoveryacton.org,,,,,,R3,Let's Encrypt,False,b'20210329085701Z',b'20210627085701Z',0,1620575735.3978207
134,werealive.com,,,,,,R3,Let's Encrypt,False,b'20210404040220Z',b'20210703040220Z',0,1620575736.8978968
135,shortener.secureserver.net,"Special Domain Services, LLC",US,Private Organization,R17247303,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",False,b'20200715072714Z',b'20220715072714Z',0,1620575738.5871742
136,pijip.org,,,,,,R3,Let's Encrypt,False,b'20210314150749Z',b'20210612150749Z',0,1620575740.2508872
138,arenamedicalgroup.com,,,,,,R3,Let's Encrypt,False,b'20210401194325Z',b'20210630194325Z',0,1620575740.8264365
139,macofalltrades.com,,,,,,Encryption Everywhere DV TLS CA - G1,DigiCert Inc,False,b'20200727000000Z',b'20210728120000Z',0,1620575741.2006042
140,rsbc.org.uk,,,,,,R3,Let's Encrypt,False,b'20210504140310Z',b'20210802140310Z',0,1620575741.4171696
141,*.abmcloud.com,,,,,,R3,Let's Encrypt,False,b'20210430124135Z',b'20210729124135Z',0,1620575741.558787
143,cpanel.octanemotorsports.com,,,,,,R3,Let's Encrypt,False,b'20210319032218Z',b'20210617032218Z',0,1620575742.1784503
144,sigortaveriskyonetimi.com,,,,,,R3,Let's Encrypt,False,b'20210319131722Z',b'20210617131722Z',21,1620575742.468414
145,www.k-othic.fr,,,,,,R3,Let's Encrypt,False,b'20210330105437Z',b'20210628105437Z',0,1620575742.5948436
147,uvtix.com,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",False,b'20200811121650Z',b'20211010160138Z',0,1620575744.744976
148,technologixs.com,,,,,,R3,Let's Encrypt,False,b'20210503124056Z',b'20210801124056Z',0,1620575744.9786427
149,reservoirbooks.com,,,,,,Amazon,Amazon,False,b'20210422000000Z',b'20220521235959Z',0,1620575745.586298
150,rfeda.es,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20201231000000Z',b'20220101235959Z',0,1620581632.08719
151,ngthai.com,,,,,,R3,Let's Encrypt,False,b'20210322134906Z',b'20210620134906Z',0,1620575747.9004953
152,www.123tinki.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20190709000000Z',b'20210708235959Z',0,1620575748.2653022
153,anevia.com,,,,,,R3,Let's Encrypt,False,b'20210427161852Z',b'20210726161852Z',0,1620575749.250386
154,lazerisaretleyici.com,,,,,,R3,Let's Encrypt,False,b'20210419230751Z',b'20210718230751Z',0,1620582654.0000656
155,*.ubfc.fr,Université de Bourgogne,FR,,,,GEANT OV RSA CA 4,GEANT Vereniging,False,b'20201113000000Z',b'20211012235959Z',0,1620575749.8150997
157,*.jschina.com.cn,江苏中江网传媒股份有限公司,CN,,,,GeoTrust RSA CA 2018,DigiCert Inc,False,b'20200504000000Z',b'20220603120000Z',0,1620575750.955476
160,bestmastersdegrees.com,,,,,,R3,Let's Encrypt,False,b'20210329080705Z',b'20210627080705Z',0,1620575751.9277086
161,medios.com.ar,"Cloudflare, Inc.",US,,,,Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",False,b'20200704000000Z',b'20210704120000Z',0,1620575752.2498188
162,edmiston.com,,,,,,R3,Let's Encrypt,False,b'20210405074605Z',b'20210704074605Z',0,1620575753.3900883
163,*.dinaserver.com,Privacidad Whois SL,ES,,,,Thawte RSA CA 2018,DigiCert Inc,False,b'20190605000000Z',b'20210803120000Z',0,1620575753.5771751
164,star-pay.jp,,,,,,GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,False,b'20210121014534Z',b'20220222014534Z',0,1620575754.4774055
165,webmail.spain-grancanaria.com,,,,,,R3,Let's Encrypt,False,b'20210430012211Z',b'20210729012211Z',0,1620575754.7238855
166,admin.bpi.edu,,,,,,R3,Let's Encrypt,False,b'20210302215816Z',b'20210531215816Z',0,1620575755.15624
168,lahuma.com,,,,,,R3,Let's Encrypt,False,b'20210504024423Z',b'20210802024423Z',0,1620575757.5682075
169,ceacolima.org,,,,,,R3,Let's Encrypt,False,b'20210421120121Z',b'20210720120121Z',0,1620575757.8579113
171,*.emcbusiness.com,,,,,,R3,Let's Encrypt,False,b'20210328045056Z',b'20210626045056Z',0,1620575759.0548916
172,jaredpalmer.com,,,,,,R3,Let's Encrypt,False,b'20210322121716Z',b'20210620121716Z',0,1620575759.3964565
173,tva.ca,,,,,,GeoTrust TLS DV RSA Mixed SHA256 2020 CA-1,DigiCert Inc,False,b'20201112000000Z',b'20211112235959Z',21,1620575760.951754
174,oilreviewmiddleeast.com,,,,,,R3,Let's Encrypt,False,b'20210501211054Z',b'20210730211054Z',0,1620575761.1912613
175,questod.co.uk,,,,,,Amazon,Amazon,False,b'20200909000000Z',b'20211009120000Z',0,1620575761.3463783
176,*.cuveeverona.com,,,,,,Actalis Domain Validation Server CA G3,Actalis S.p.A.,False,b'20200815083630Z',b'20211007045630Z',0,1620575761.5675726
178,kundan.co,,,,,,R3,Let's Encrypt,False,b'20210410161037Z',b'20210709161037Z',0,1620575762.969505
179,*.auto3n.ru,"ООО ""АВТО ЗН""",RU,,,,Thawte RSA CA 2018,DigiCert Inc,False,b'20210422000000Z',b'20220523235959Z',0,1620575763.380231
180,zavoz.ru,,,,,,Encryption Everywhere DV TLS CA - G1,DigiCert Inc,False,b'20201126000000Z',b'20210524235959Z',0,1620575763.7177277
181,netivist.org,,,,,,R3,Let's Encrypt,False,b'20210222095331Z',b'20210523095331Z',0,1620575764.950759
182,thefitnessmojo.com,,,,,,R3,Let's Encrypt,False,b'20210504174352Z',b'20210802174352Z',0,1620575765.6877463
183,researchreportsworld.com,"Cloudflare, Inc.",US,,,,Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",False,b'20200719000000Z',b'20210719120000Z',0,1620575765.9234235
184,best-gif.com,,,,,,R3,Let's Encrypt,False,b'20210313161234Z',b'20210611161234Z',0,1620575766.8296468
185,realite-virtuelle.com,,,,,,R3,Let's Encrypt,False,b'20210405071118Z',b'20210704071118Z',0,1620575767.166089
189,aciddrop.com,,,,,,R3,Let's Encrypt,False,b'20210324080044Z',b'20210622080044Z',0,1620575768.9464924
191,*.galerieslafayette.de,44 GALERIES LAFAYETTE - 44 GL SASU,FR,,,,Thawte RSA CA 2018,DigiCert Inc,False,b'20200221000000Z',b'20220220120000Z',0,1620575770.012353
193,letanneur.com,,,,,,R3,Let's Encrypt,False,b'20210422182654Z',b'20210721182654Z',0,1620575770.4012454
194,*.dnsmadeeasy.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20200323000000Z',b'20220625000000Z',0,1620575770.7573082
195,poshly.com,,,,,,GTS CA 1D4,Google Trust Services LLC,False,b'20210422221109Z',b'20210721231109Z',0,1620575771.0700655
196,thefort.com,,,,,,R3,Let's Encrypt,False,b'20210416194834Z',b'20210715194834Z',0,1620575771.4345484
197,kuzrab.ru,,,,,,R3,Let's Encrypt,False,b'20210409070049Z',b'20210708070049Z',0,1620575771.758462
198,prixtel.com,,,,,,Amazon,Amazon,False,b'20210104000000Z',b'20220202235959Z',0,1620575772.1643836
199,*.e-food.nl,,,,,,GeoTrust TLS DV RSA Mixed SHA256 2020 CA-1,DigiCert Inc,False,b'20200922000000Z',b'20211015120000Z',0,1620575777.9858482
200,*.unileverservices.com,Unilever,US,,,,Entrust Certification Authority - L1K,"Entrust, Inc.",False,b'20200728195947Z',b'20221026195947Z',0,1620575778.2302706
201,www.rockingthedaisies.com,,,,,,R3,Let's Encrypt,False,b'20210417000311Z',b'20210716000311Z',0,1620575779.5745342
202,jkcomputer.in,,,,,,R3,Let's Encrypt,False,b'20210411031114Z',b'20210710031114Z',0,1620575782.0084548
203,*.beroepeninbeeld.nl,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20200909000000Z',b'20211001235959Z',0,1620575782.2762349
204,prurls.com,,,,,,R3,Let's Encrypt,False,b'20210411001042Z',b'20210710001042Z',0,1620575782.8711462
205,coffeewithacop.com,,,,,,R3,Let's Encrypt,False,b'20210323191450Z',b'20210621191450Z',0,1620575783.112075
207,cpcalendars.muthaber.com,,,,,,R3,Let's Encrypt,False,b'20210420001715Z',b'20210719001715Z',0,1620575785.0710666
208,lievincyclisme.com,,,,,,R3,Let's Encrypt,False,b'20210407034322Z',b'20210706034322Z',0,1620575785.2504644
209,www.chaucerswine.com,,,,,,R3,Let's Encrypt,False,b'20210316125744Z',b'20210614125744Z',0,1620575786.890849
210,*.cncenter.cz,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20201124000000Z',b'20211124235959Z',0,1620575787.2002487
211,istruzioneer.it,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20210111000000Z',b'20220211235959Z',0,1620575787.4875596
213,utv.ie,,,,,,R3,Let's Encrypt,False,b'20210327000144Z',b'20210625000144Z',0,1620575788.5571363
215,www.recruitjobs.co.jp,"Recruit Co., Ltd.",JP,,,,DigiCert SHA2 Secure Server CA,DigiCert Inc,False,b'20200610000000Z',b'20220611120000Z',0,1620575790.0965574
216,*.joeware.net,,,,,,R3,Let's Encrypt,False,b'20210322223545Z',b'20210620223545Z',0,1620575790.6609921
217,webmail.janeirobranco.com.br,,,,,,R3,Let's Encrypt,False,b'20210328033153Z',b'20210626033153Z',0,1620575792.3008106
218,*.prod.sin2.secureserver.net,,,,,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",False,b'20200114185427Z',b'20220114185427Z',0,1620575793.0757806
219,earth2o.com,,,,,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",False,b'20200930192617Z',b'20210930192617Z',0,1620575793.3648894
222,aldimeola.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20210509000000Z',b'20210807235959Z',0,1620575795.3653672
223,velasca.com,,,,,,R3,Let's Encrypt,False,b'20210407214907Z',b'20210706214907Z',0,1620575795.466296
225,*.weareumi.co.uk,Business and Enterprise Commercial Limited,GB,,,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",False,b'20190529090220Z',b'20210529090220Z',0,1620575796.33239
226,*.iprom.si,,,,,,R3,Let's Encrypt,False,b'20210412112102Z',b'20210711112102Z',0,1620575798.627829
228,alvaradostreetbakery.com,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",False,b'20200710222223Z',b'20220908174139Z',0,1620575800.4225202
230,2453656.ru,XX,XX,,,,2453656.ru,XX,False,b'20200517134723Z',b'20210516134723Z',18,1620575800.93876
231,pxatsweb02.calstate.edu,California State University: Office of the Chancellor,US,,,,InCommon ECC Server CA,Internet2,False,b'20210421000000Z',b'20220421235959Z',0,1620575801.562847
232,www.fingrid.fi,Fingrid Oyj,FI,,,,TeliaSonera Server CA v2,TeliaSonera,False,b'20201124063928Z',b'20211124063928Z',0,1620575801.987153
233,dsuhornets.com,,,,,,R3,Let's Encrypt,False,b'20210506031657Z',b'20210804031657Z',0,1620575802.5201955
234,www.2000greetings.com,,,,,,R3,Let's Encrypt,False,b'20210426104214Z',b'20210725104214Z',0,1620575805.0014696
236,*.biurofestiwalowe.pl,Krakowskie Biuro Festiwalowe,PL,,,,Certum Organization Validation CA SHA2,Unizeto Technologies S.A.,True,b'20190128095541Z',b'20210127095541Z',10,1620575807.4101133
238,aacenterpc.com,,,,,,R3,Let's Encrypt,False,b'20210328134925Z',b'20210626134925Z',0,1620575808.8188784
239,welltex.ru,,,,,,R3,Let's Encrypt,False,b'20210504233402Z',b'20210802233402Z',0,1620575809.1813228
240,hbshyd.in,,,,,,R3,Let's Encrypt,False,b'20210417102414Z',b'20210716102414Z',0,1620575809.6429138
241,shopper.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20210130000000Z',b'20220130235959Z',0,1620575810.8785212
242,trueofferz.com,,,,,,R3,Let's Encrypt,False,b'20210325032135Z',b'20210623032135Z',0,1620575811.3136215
243,*.starwebserver.se,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20201026000000Z',b'20211126235959Z',0,1620575811.798449
244,aioti.eu,,,,,,R3,Let's Encrypt,False,b'20210404162310Z',b'20210703162310Z',0,1620575811.9494677
245,asphalte.ch,,,,,,R3,Let's Encrypt,False,b'20210429170925Z',b'20210728170925Z',0,1620575812.1845524
