,Unnamed: 0,CN,O,C,businessCategory,serialNumber,juristiction,issuer_CN,issuer_O,expired,notBefore,notAfter,verCode,time_collected
318,702,*.stasto.eu,,,,,,GeoTrust TLS DV RSA Mixed SHA256 2020 CA-1,DigiCert Inc,0.0,b'20201025000000Z',b'20211029235959Z',0,1620479589.0227787
319,706,s2c006.xyz,,,,,,s2c006.xyz,,0.0,b'20200806013933Z',b'20210806013933Z',18,1620479589.2090476
321,721,rakutan.jp.chieakc.cn,,,,,,R3,Let's Encrypt,0.0,b'20210410154002Z',b'20210709154002Z',0,1620479589.4553485
334,749,infomaps.in,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210317000000Z',b'20210615235959Z',0,1620479589.8586
335,751,peritoinformaticoforense.co,,,,,,R3,Let's Encrypt,0.0,b'20210329153540Z',b'20210627153540Z',0,1620479589.3645687
336,754,marryingmaggie.co,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210404000000Z',b'20210703235959Z',0,1620479589.4044626
338,762,sonaltadigi.biz,,,,,,R3,Let's Encrypt,0.0,b'20210414150315Z',b'20210713150315Z',0,1620479589.2837846
343,774,detafuro.io,,,,,,R3,Let's Encrypt,0.0,b'20210327013413Z',b'20210625013413Z',0,1620479588.754617
352,800,cuddl.id,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210322000000Z',b'20210620235959Z',0,1620479588.829607
354,803,adt.wang,,,,,,R3,Let's Encrypt,0.0,b'20210315151140Z',b'20210613151140Z',0,1620479588.7572505
355,807,www.workinprogress.info,,,,,,R3,Let's Encrypt,1.0,b'20210116235710Z',b'20210416235710Z',0,1620479588.9527981
356,811,alfanargroup.ae,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210220000000Z',b'20210521235959Z',0,1620479589.807633
358,818,apps.isycloud.co,,,,,,R3,Let's Encrypt,0.0,b'20210222125504Z',b'20210523125504Z',0,1620479588.9182556
359,820,witnessconservation.foundation,,,,,,R3,Let's Encrypt,0.0,b'20210411222540Z',b'20210710222540Z',0,1620479589.2559016
361,831,hosteons2.tokyo,,,,,,R3,Let's Encrypt,0.0,b'20210414100908Z',b'20210713100908Z',0,1620479589.6936429
364,845,amazon-mysever.ga,,,,,,R3,Let's Encrypt,0.0,b'20210416135401Z',b'20210715135401Z',0,1620479589.493669
372,870,animocountyretreat.co.ke,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20200317203031Z',b'20200615203031Z',10,1620479589.6134071
379,898,dadf-gfd.co.jp.ocjpgxcdsadsyndyabcga.top,,,,,,R3,Let's Encrypt,0.0,b'20210404164447Z',b'20210703164447Z',0,1620479589.2047698
380,899,www.tradermag.ir,,,,,,R3,Let's Encrypt,0.0,b'20210217172024Z',b'20210518172024Z',0,1620479589.262209
383,916,dar.studio,,,,,,dar.studio,,0.0,b'20210408141814Z',b'20220408141814Z',18,1620479589.8243713
384,929,118spn.ru,,,,,,R3,Let's Encrypt,0.0,b'20210331054602Z',b'20210629054602Z',0,1620479588.836916
393,957,mail.gruponobre.edu.br,,,,,,R3,Let's Encrypt,0.0,b'20210328044119Z',b'20210626044119Z',0,1620479589.012331
396,967,ijobs.vn,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210321000000Z',b'20210619235959Z',0,1620479588.7883506
399,977,angellel.cl,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20201110000000Z',b'20210208235959Z',10,1620479589.2326062
403,983,epos-carb.top,,,,,,R3,Let's Encrypt,0.0,b'20210411220451Z',b'20210710220451Z',0,1620479588.6042714
408,1005,*.hostgator.co,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20190823000000Z',b'20210822235959Z',0,1620479589.391662
410,1009,*.avnam.net,,,,,,GlobeSSL DV CA,CentralNic Luxembourg Sàrl,0.0,b'20210405000000Z',b'20220409235959Z',0,1620479589.6078336
413,1024,ehan.org,,,,,,COMODO SSL CA,COMODO CA Limited,1.0,b'20130503000000Z',b'20140503235959Z',21,1620479589.3996134
414,1025,debangfushi.cn,,,,,,R3,Let's Encrypt,0.0,b'20210413021130Z',b'20210712021130Z',0,1620479589.588295
429,1052,www.epos.card-jp.cc,,,,,,R3,Let's Encrypt,0.0,b'20210414171838Z',b'20210713171838Z',0,1620479588.7033446
430,1057,account-support-safty-center-amazon-co-jp.bbed.top,,,,,,R3,Let's Encrypt,0.0,b'20210415041403Z',b'20210714041403Z',0,1620479589.5444088
431,1058,brcone.club,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210228000000Z',b'20210529235959Z',0,1620479588.5869093
432,1061,aaamsa.com.mx,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20210206000000Z',b'20210507235959Z',0,1620479589.1610675
440,1079,www.amazonlogistics-ap-northeast-1.amazonlogistics.jp,,,,,,Amazon,Amazon,0.0,b'20200805000000Z',b'20210727120000Z',0,1620479588.951208
441,1080,ruscctv.ru,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20181008025939Z',b'20190106025939Z',10,1620479589.0849578
444,1084,pre-taxes-purshases-reward.ca,,,,,,R3,Let's Encrypt,0.0,b'20210325012408Z',b'20210623012408Z',0,1620479589.0963507
446,1087,*.dnsmisitio.net,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200808000000Z',b'20221110000000Z',0,1620479589.2429702
449,1094,a2events.fr,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210321000000Z',b'20210619235959Z',0,1620479588.9169915
452,1104,dir.do,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210224000000Z',b'20210525235959Z',0,1620479589.3773766
453,1114,16d.today,,,,,,RapidSSL SHA256 CA,GeoTrust Inc.,1.0,b'20160422000000Z',b'20170422235959Z',10,1620479589.7021465
456,1123,nginx,nginx,RU,,,,nginx,nginx,1.0,b'20190311155857Z',b'20200310155857Z',10,1620479589.8539865
472,1195,0-d.ru,,,,,,R3,Let's Encrypt,0.0,b'20210328180409Z',b'20210626180409Z',0,1620479589.512921
473,1196,klikbsi.id,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20201228000000Z',b'20210328235959Z',10,1620479589.4038954
474,1197,acceptcredit.md,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200310000000Z',b'20210608235959Z',0,1620479589.3165348
483,1226,checkitchile.cl,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210304000000Z',b'20210602235959Z',0,1620479588.940722
489,1244,crystaltech.co.ke,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210314000000Z',b'20210612235959Z',0,1620479589.0837028
495,1255,appstore.360sales.vn,,,,,,GeoTrust DV SSL CA - G4,GeoTrust Inc.,1.0,b'20150124170726Z',b'20150226000544Z',10,1620479589.290234
497,1259,dcvm.org.ph,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210301000000Z',b'20210530235959Z',0,1620479588.8285365
500,1268,*.sn.am,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20201202000000Z',b'20211202235959Z',0,1620479588.855524
501,1272,adhisc.ae,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20201125000000Z',b'20210223235959Z',10,1620479589.2093346
508,1288,adi-deliveries.co.il,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210328000000Z',b'20210626235959Z',0,1620479589.2715394
509,1289,*.sogou.com,"Beijing Sogou Technology Development Co., Ltd.",CN,,,,GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0.0,b'20200428033050Z',b'20210722052741Z',0,1620479589.0680351
522,1326,*.oblaci.rs,"Preduzece za telekomunikacije Telekom Srbija a.d., Beograd",RS,,,,GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0.0,b'20200109124109Z',b'20220217160641Z',0,1620479589.7898042
524,1332,eosjlb.cn,,,,,,R3,Let's Encrypt,0.0,b'20210412020131Z',b'20210711020131Z',0,1620479588.8820632
525,1338,Kloxo-MR certificate,,,,,,Kloxo-MR certificate,,0.0,b'20170404081710Z',b'21170311081710Z',18,1620479589.6382036
528,1343,admin.han,,,,,,admin.han,,0.0,b'20201022122945Z',b'20211022122945Z',18,1620479589.6722212
535,1363,jetpl.me,,,,,,R3,Let's Encrypt,0.0,b'20210406084324Z',b'20210705084324Z',0,1620479588.9860508
536,1365,cpcalendars.aeltd.com.tr,,,,,,R3,Let's Encrypt,0.0,b'20210226233717Z',b'20210527233717Z',0,1620479588.6827295
538,1370,ssl.mihanmizban.net,,,,,,R3,Let's Encrypt,0.0,b'20210416022102Z',b'20210715022102Z',0,1620479588.7617714
539,1373,*.mymed.lk,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20190822000000Z',b'20210821235959Z',0,1620479588.91972
543,1380,100potolkov.ru,,,,,,R3,Let's Encrypt,0.0,b'20210216064742Z',b'20210517064742Z',0,1620479589.3014598
547,1393,banned.ssl.vhost,AfterMarket.pl,PL,,,,banned.ssl.vhost,AfterMarket.pl,0.0,b'20200313171119Z',b'20300311171119Z',18,1620479589.4830866
548,1394,aca.com.na,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210312000000Z',b'20210610235959Z',0,1620479588.9982355
555,1407,ns100968.ip-147-135-15.us,OVH,--,,,,ns100968.ip-147-135-15.us,OVH,0.0,b'20180424022800Z',b'20450908022800Z',18,1620479589.6507273
556,1409,rakuten.co.jp.rakkutenvip.xyz,,,,,,R3,Let's Encrypt,0.0,b'20210415095151Z',b'20210714095151Z',0,1620479588.8490572
557,1413,amazon.co.jp.a1b9c5.com,,,,,,R3,Let's Encrypt,0.0,b'20210306071046Z',b'20210604071046Z',0,1620479589.169158
558,1414,melodika.com.tr,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210328000000Z',b'20210626235959Z',0,1620479589.168081
564,1428,lpch.cl,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210319000000Z',b'20210617235959Z',0,1620479589.0705793
568,1444,1-vorota.ru,,,,,,R3,Let's Encrypt,0.0,b'20210315074657Z',b'20210613074657Z',0,1620479589.5089734
569,1445,abdulmatin.info,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20170912000000Z',b'20171211235959Z',10,1620479589.2076824
579,1475,afengshui.co,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210331000000Z',b'20210629235959Z',0,1620479589.1625595
583,1486,*.icon6.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20201125000000Z',b'20211225235959Z',0,1620479589.6245532
587,1498,unruffled-lamport.198-46-189-126.plesk.page,,,,,,R3,Let's Encrypt,0.0,b'20210322211803Z',b'20210620211803Z',0,1620479588.8748038
592,1508,cetabol.bo,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20210206000000Z',b'20210507235959Z',0,1620479589.8093321
596,1523,skpangeni.com.np,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210317000000Z',b'20210615235959Z',0,1620479588.8379946
597,1525,airporthotelkathmandu.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210211000000Z',b'20210512235959Z',0,1620479588.915242
598,1527,absolutegiftware.info,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210401000000Z',b'20210630235959Z',0,1620479589.392735
600,1529,annazon-bnaoid-co-jo.iaosq.top,,,,,,R3,Let's Encrypt,0.0,b'20210410121341Z',b'20210709121341Z',0,1620479589.1880429
603,1532,*.contabo.net,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20210216000000Z',b'20220216235959Z',0,1620479589.4313698
605,1539,email302.com,,,,,,R3,Let's Encrypt,0.0,b'20210321060440Z',b'20210619060440Z',0,1620479589.3211331
606,1540,*.jawwal.ps,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",1.0,b'20140422102810Z',b'20140912120711Z',10,1620479589.0236766
616,1578,mail.a2zworkwear.co,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210225000000Z',b'20210526235959Z',0,1620479588.6996658
622,1597,profvape.store,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210226000000Z',b'20210527235959Z',0,1620479588.9813044
626,1608,sgp1018.siteground.asia,,,,,,R3,Let's Encrypt,0.0,b'20210319074004Z',b'20210617074004Z',0,1620479588.6396165
631,1619,7bb7.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210212000000Z',b'20210513235959Z',0,1620479588.8616898
634,1627,www.spletnomesto.si,,,,,,R3,Let's Encrypt,0.0,b'20210404215944Z',b'20210703215944Z',21,1620479589.5705488
641,1654,addaarchitects.in,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210209000000Z',b'20210510235959Z',0,1620479589.3852403
644,1660,covid.datafirst.co.th,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210405000000Z',b'20210704235959Z',0,1620479588.9795015
645,1661,ohfaq.me,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20171024000000Z',b'20180122235959Z',21,1620479589.8209288
649,1672,000.by,,,,,,R3,Let's Encrypt,0.0,b'20210305035004Z',b'20210603035004Z',0,1620479589.3725238
658,1696,www.hardwarehouse.co.th,,,,,,R3,Let's Encrypt,0.0,b'20210302194357Z',b'20210531194357Z',0,1620479589.4708061
663,1707,*.alix44.com,,,,,,R3,Let's Encrypt,0.0,b'20210312163100Z',b'20210610163100Z',0,1620479589.6617713
666,1723,aaf.tn,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210303000000Z',b'20210601235959Z',0,1620479588.9097538
671,1743,Default SSL Certificate,,,,,,Default SSL Certificate,,1.0,b'20150427201525Z',b'20180426201525Z',10,1620479588.7585638
675,1756,test32.ru,,,,,,R3,Let's Encrypt,0.0,b'20210403013140Z',b'20210702013140Z',0,1620479589.8249304
677,1768,120u.ru,,,,,,R3,Let's Encrypt,0.0,b'20210222014758Z',b'20210523014758Z',0,1620479589.5831325
680,1776,abogadodivorcio.pro,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210217000000Z',b'20210518235959Z',0,1620479588.7363605
681,1777,spamxyz.us,,,,,,spamxyz.us,,0.0,b'20210306040635Z',b'20220306040635Z',18,1620479589.4696608
691,1807,lavio.ro,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210315000000Z',b'20210613235959Z',0,1620479588.6086414
696,1824,com-linweb226,Webhosting,BE,,,,com-linweb226,Webhosting,0.0,b'20200110074621Z',b'20220320074621Z',18,1620479588.792757
697,1827,1mb.co,,,,,,R3,Let's Encrypt,0.0,b'20210209102215Z',b'20210510102215Z',0,1620479589.3279676
699,1831,www.adepo.icu,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20200307091815Z',b'20200605091815Z',10,1620479589.6543052
702,1845,form.camp,,,,,,R3,Let's Encrypt,0.0,b'20210304200652Z',b'20210602200652Z',0,1620479588.8338914
703,1846,packstation-226.com,,,,,,R3,Let's Encrypt,0.0,b'20210329234141Z',b'20210627234141Z',0,1620479589.586096
709,1865,abcdigital.mx,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",0.0,b'20190303134419Z',b'20210529134419Z',0,1620479589.4839356
712,1878,brandpot.in,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20190803121705Z',b'20191101121705Z',10,1620479589.4601471
717,1895,celeo.net,Celeonet SAS,FR,,,,celeo.net,Celeonet SAS,0.0,b'20170503104616Z',b'21170409104616Z',18,1620479589.4532034
722,1910,uk57.siteground.eu,,,,,,R3,Let's Encrypt,0.0,b'20210304022401Z',b'20210602022401Z',0,1620479589.0196006
726,1928,aminternational.lk,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210313000000Z',b'20210611235959Z',0,1620479589.6212034
727,1930,193.36.35.112,,,,,,193.36.35.112,,0.0,b'20161212183313Z',b'20261210183313Z',18,1620479589.0885792
