,CN,O,C,businessCategory,serialNumber,juristiction,issuer_CN,issuer_O,expired,notBefore,notAfter,verCode,time_collected
61,100templates.ru,,,,,,R3,Let's Encrypt,0.0,b'20210303053123Z',b'20210601053123Z',0,1620479588.7146769
62,hosting.multimedialab.co,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20200223000000Z',b'20200523235959Z',10,1620479589.0014024
63,*.hostgator.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200903000000Z',b'20210903235959Z',0,1620479588.802529
64,wh05.024reg.com,,,,,,wh05.024reg.com,,0.0,b'20180125154617Z',b'20280123154617Z',18,1620479588.8621993
65,*.websitewelcome.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200903000000Z',b'20210903235959Z',0,1620479589.7917182
66,testexp,testexample,US,,,,testexp,testexample,0.0,b'20200602054149Z',b'20300531054149Z',18,1620479589.3864398
68,s5.create.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20201027000000Z',b'20211027235959Z',0,1620479589.0079129
71,acces-prosperity-limited.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210323000000Z',b'20210621235959Z',0,1620479589.1288114
72,amzget.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210319000000Z',b'20210617235959Z',0,1620479588.7829368
75,acanthuspress.co.uk,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20200920000000Z',b'20201219235959Z',10,1620479589.2480588
76,flourishformums.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210224000000Z',b'20210525235959Z',0,1620479589.2209446
79,*.weebly.com,,,,,,RapidSSL RSA CA 2018,DigiCert Inc,0.0,b'20191004000000Z',b'20211202120000Z',0,1620479588.7044778
81,intranet.elringklinger.safe-browsing.de,,,,,,R3,Let's Encrypt,0.0,b'20210226101437Z',b'20210527101437Z',0,1620479589.317104
83,*.prod.sin3.secureserver.net,,,,,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",0.0,b'20200909181842Z',b'20211011181842Z',0,1620479588.9967327
85,www.abadiss.com,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20200618004323Z',b'20200916004323Z',10,1620479589.7950387
86,www.livepuppycam.maximilianschnauzers.com,,,,,,R3,Let's Encrypt,0.0,b'20210218160738Z',b'20210519160738Z',0,1620479589.448792
88,*.squarespace.com,"Squarespace, Inc.",US,,,,DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0.0,b'20210315000000Z',b'20220323235959Z',0,1620479589.3473363
89,scalextricman.co.uk,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210401000000Z',b'20210630235959Z',0,1620479589.8391511
90,dominguiscv.es,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210403000000Z',b'20210702235959Z',0,1620479589.8370848
92,*.94fmsi.com.br,,,,,,R3,Let's Encrypt,0.0,b'20210415015005Z',b'20210714015005Z',0,1620479589.0404563
93,ssl464577.cloudflaressl.com,,,,,,COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,0.0,b'20201107000000Z',b'20210516235959Z',0,1620479588.7202363
94,alumni.unmuha.ac.id,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210310000000Z',b'20210608235959Z',0,1620479589.0513036
97,mihosting.host,,,,,,mihosting.host,,1.0,b'20200424221113Z',b'20210424221113Z',18,1620479588.9689875
100,webuyitback.co.za,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20200908000000Z',b'20210908235959Z',0,1620479589.8575656
102,c43588.sgvps.net,,,,,,R3,Let's Encrypt,0.0,b'20210326074621Z',b'20210624074621Z',0,1620479589.1296923
103,*.surge.sh,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20210328000000Z',b'20220425235959Z',0,1620479589.5622475
105,2sideapi.com,,,,,,R3,Let's Encrypt,0.0,b'20210415231234Z',b'20210714231234Z',0,1620479589.5728924
109,*.wixstatic.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20210205000000Z',b'20210804235959Z',0,1620479589.6401415
111,abadal.com.mx,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210306000000Z',b'20210604235959Z',0,1620479589.210031
112,*.website2.me,,,,,,RapidSSL TLS DV RSA Mixed SHA256 2020 CA-1,DigiCert Inc,0.0,b'20210222000000Z',b'20220303235959Z',0,1620479589.1437669
114,Plesk,Odin,US,,,,Plesk,Odin,1.0,b'20160216120437Z',b'20170215120437Z',10,1620479588.6618342
115,auditmessages.com,,,,,,Amazon,Amazon,0.0,b'20210315000000Z',b'20220413235959Z',0,1620479588.9161499
119,rs3-dal.serverhostgroup.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210222000000Z',b'20220222235959Z',0,1620479589.0760703
126,blog.vndc.io,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20200919031731Z',b'20201218031731Z',10,1620479588.7267911
127,giowm1016.siteground.biz,,,,,,R3,Let's Encrypt,1.0,b'20210207071938Z',b'20210508071938Z',0,1620479589.8217885
129,newworkingtony.com,,,,,,newworkingtony.com,,0.0,b'20200707194431Z',b'20210707194431Z',18,1620479589.7911549
130,*.mailkitchen.com,,,,,,Gandi Standard SSL CA 2,Gandi,1.0,b'20180416000000Z',b'20200512235959Z',10,1620479589.6242595
132,*.upcontact.com,,,,,,Gandi Standard SSL CA 2,Gandi,0.0,b'20210311000000Z',b'20220311235959Z',0,1620479589.147002
135,abumarico.ps,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210301000000Z',b'20210530235959Z',0,1620479589.4348922
137,vmi542007.contaboserver.net,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210310000000Z',b'20220310235959Z',0,1620479589.4904563
140,www.example.com,Bitnami,,,,,www.example.com,Bitnami,0.0,b'20200124210837Z',b'20300121210837Z',18,1620479589.286355
141,msg.arnazon.gq,,,,,,R3,Let's Encrypt,0.0,b'20210413154741Z',b'20210712154741Z',0,1620479589.0608854
143,server1.shambika.com,CentOS Web Panel,HR,,,,server1.shambika.com,CentOS Web Panel,1.0,b'20170604072341Z',b'20180604072341Z',10,1620479589.8529708
144,access-cloudserver365.de,,,,,,R3,Let's Encrypt,0.0,b'20210327002127Z',b'20210625002127Z',0,1620479589.5864277
147,*.prod.sin2.secureserver.net,,,,,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",0.0,b'20200114185427Z',b'20220114185427Z',0,1620479589.6363087
149,webslave.ispgateway.de,ispgateway,DE,,,,webslave.ispgateway.de,ispgateway,0.0,b'20200810114004Z',b'20471227114004Z',18,1620479589.5902371
150,013.in.rs,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210403000000Z',b'20210702235959Z',0,1620479589.068331
151,aabyfnigeria2017.org,,,,,,aabyfnigeria2017.org,,1.0,b'20170716134128Z',b'20180716134128Z',10,1620479589.4252813
152,localhost,none,US,,,,localhost,none,0.0,b'20190411085820Z',b'20460826085820Z',18,1620479588.8061569
153,www.151hospitality.com,,,,,,R3,Let's Encrypt,0.0,b'20210415065610Z',b'20210714065610Z',0,1620479589.201271
155,*.prod.iad2.secureserver.net,,,,,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",0.0,b'20200114175233Z',b'20220114175233Z',0,1620479589.0271544
160,ac-engineering.co.id,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210216000000Z',b'20210517235959Z',0,1620479589.2971406
163,glitch.com,,,,,,Amazon,Amazon,0.0,b'20210118000000Z',b'20220215235959Z',0,1620479588.953362
164,*.loopiasecure.com,Loopia Aktiebolag,SE,,,,DigiCert SHA2 High Assurance Server CA,DigiCert Inc,0.0,b'20201016000000Z',b'20211116235959Z',0,1620479589.67965
165,*.drv.tw,,,,,,R3,Let's Encrypt,0.0,b'20210416003948Z',b'20210715003948Z',0,1620479589.5375984
167,localhost.localdomain,SomeOrganization,--,,,,localhost.localdomain,SomeOrganization,1.0,b'20160126222506Z',b'20170125222506Z',21,1620479589.546057
169,cpcalendars.animationhawks.com,,,,,,R3,Let's Encrypt,1.0,b'20210127215635Z',b'20210427215635Z',0,1620479588.6610239
172,*.abyssinia.com.tr,,,,,,R3,Let's Encrypt,0.0,b'20210306123546Z',b'20210604123546Z',0,1620479589.315369
174,abc-scoala-auto.ro,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210405000000Z',b'20210704235959Z',0,1620479589.0933557
175,*.mchost.ru,,,,,,AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,0.0,b'20200818154222Z',b'20220819154222Z',0,1620479589.369828
176,giist.org,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210411000000Z',b'20210710235959Z',0,1620479589.2820542
178,*.sakura.ne.jp,,,,,,Gehirn Managed Certification Authority - RSA DV,Gehirn Inc.,0.0,b'20200528000000Z',b'20220528235959Z',0,1620479588.7039216
179,adboard.cosavostra.com,,,,,,R3,Let's Encrypt,0.0,b'20210403121040Z',b'20210702121040Z',0,1620479589.554473
181,neweventspin.com,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20201127034913Z',b'20210225034913Z',10,1620479589.680704
182,abbiati.ws,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210401000000Z',b'20210630235959Z',0,1620479589.6568897
183,5470.in,,,,,,R3,Let's Encrypt,0.0,b'20210220135706Z',b'20210521135706Z',0,1620479588.9318576
184,*.easywp.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20201214000000Z',b'20211214235959Z',0,1620479589.2698152
186,*.s3.amazonaws.com,"Amazon.com, Inc.",US,,,,DigiCert Baltimore CA-2 G2,DigiCert Inc,0.0,b'20210111000000Z',b'20220211235959Z',0,1620479588.6730886
190,asg-mongolia.org,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20171007000000Z',b'20180105235959Z',10,1620479589.3317308
196,2-57-122-7.cprapid.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210324000000Z',b'20220324235959Z',0,1620479589.6947062
198,ads.yourpay.live,,,,,,R3,Let's Encrypt,0.0,b'20210409104050Z',b'20210708104050Z',0,1620479589.5261254
199,*.fra1.digitaloceanspaces.com,"DigitalOcean, LLC",US,,,,DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0.0,b'20210317000000Z',b'20220417235959Z',0,1620479588.9483066
200,*.inmotionhosting.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20191029000000Z',b'20211028235959Z',21,1620479589.670846
201,365howto.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210411000000Z',b'20210710235959Z',0,1620479589.495104
206,omniix.com,,,,,,omniix.com,,1.0,b'20200211215206Z',b'20210210215206Z',10,1620479588.913962
207,bellavalentina.hutska.cz,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20200828000800Z',b'20201126000800Z',10,1620479589.4769244
208,*.s3.us-east-2.amazonaws.com,"Amazon.com, Inc.",US,,,,DigiCert Baltimore CA-2 G2,DigiCert Inc,0.0,b'20210114000000Z',b'20220118235959Z',0,1620479589.1136456
209,atomic212.com.au,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20201127000000Z',b'20211127235959Z',0,1620479589.0420897
212,*.blob.core.windows.net,,,,,,Microsoft RSA TLS CA 01,Microsoft Corporation,0.0,b'20210216210920Z',b'20220216210920Z',0,1620479589.1077511
213,aanshookumar.com,,,,,,R3,Let's Encrypt,0.0,b'20210219023059Z',b'20210520023059Z',0,1620479588.8686023
216,ssl974679.cloudflaressl.com,,,,,,COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,1.0,b'20200406000000Z',b'20201013235959Z',10,1620479589.2350614
219,*.prodns.com.br,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200908000000Z',b'20210908235959Z',0,1620479588.94716
220,ablbienesraices.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210312000000Z',b'20210610235959Z',0,1620479589.835014
223,planet.my.id,,,,,,R3,Let's Encrypt,0.0,b'20210329172900Z',b'20210627172900Z',0,1620479589.504577
226,*.cluster1.easy-hebergement.net,,,,,,Gandi Standard SSL CA 2,Gandi,0.0,b'20200416000000Z',b'20220416235959Z',0,1620479589.598543
228,*.banahosting.com,,,,,,GeoTrust RSA CA 2018,DigiCert Inc,0.0,b'20200601000000Z',b'20220602120000Z',0,1620479589.7221656
229,sni.dreamhost.com,DreamHost,US,,,,sni.dreamhost.com,DreamHost,0.0,b'20150811182423Z',b'20250808182423Z',18,1620479588.9837892
233,ballincollege.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210312000000Z',b'20210610235959Z',0,1620479589.6691022
235,aberdarecottages.co.ke,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20210128000000Z',b'20220128235959Z',0,1620479588.859029
240,testee.ntdll.top,,,,,,R3,Let's Encrypt,0.0,b'20210323174439Z',b'20210621174439Z',0,1620479588.7496252
245,mail.historichighlandpark.org,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20201120203139Z',b'20210218203139Z',10,1620479589.7168741
247,asyabdecolombia.co,,,,,,asyabdecolombia.co,,0.0,b'20201015221310Z',b'20211015221310Z',18,1620479589.4656148
248,r.mailin.fr,,,,,,R3,Let's Encrypt,0.0,b'20210216091957Z',b'20210517091957Z',0,1620479589.5573413
250,us130.siteground.us,,,,,,R3,Let's Encrypt,0.0,b'20210331073942Z',b'20210629073942Z',0,1620479589.030173
253,munchkln.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210406000000Z',b'20210705235959Z',0,1620479589.7368317
254,test-self-signed.spaceweb.ru,Test Self SSL Company,RU,,,,test-self-signed.spaceweb.ru,Test Self SSL Company,1.0,b'20160525100943Z',b'20160524100943Z',10,1620479589.6289847
255,www.ablecf.co.uk,,,,,,R3,Let's Encrypt,0.0,b'20210323105309Z',b'20210621105309Z',0,1620479588.6815965
256,aydincanbayraktar.com.tr,,,,,,R3,Let's Encrypt,0.0,b'20210416200917Z',b'20210715200917Z',0,1620479589.7190228
262,chalkwoodhouse.co.za,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210210000000Z',b'20210511235959Z',0,1620479589.7258804
265,*.aruba.it,Aruba S.p.A.,IT,,,,Actalis Organization Validated Server CA G3,Actalis S.p.A.,0.0,b'20200723123537Z',b'20220723123537Z',0,1620479589.5100787
266,ac-nearby.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210313000000Z',b'20210611235959Z',0,1620479588.8768592
267,*.bigrock.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20190531000000Z',b'20210616235959Z',0,1620479589.4947014
268,sahlh.org,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210415000000Z',b'20210714235959Z',0,1620479589.7531965
269,omicron.ip-asia.com,,,,,,omicron.ip-asia.com,,1.0,b'20200123043532Z',b'20210122043532Z',10,1620479589.8057466
271,administracion.bevamos.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210408000000Z',b'20210707235959Z',0,1620479589.5121055
272,pkbgt.org,,,,,,COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,1.0,b'20180912000000Z',b'20190926235959Z',10,1620479589.1455383
275,a5architects.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210213000000Z',b'20210514235959Z',0,1620479589.806761
278,blue103.dnsmisitio.net,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20200806000000Z',b'20210806235959Z',0,1620479589.2264948
279,amemiyaryusaki.com,,,,,,amemiyaryusaki.com,,0.0,b'20210128233531Z',b'20220128233531Z',18,1620479589.6314096
281,abumousa.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210307000000Z',b'20210605235959Z',0,1620479589.3491497
282,8985651.vip,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20201123103343Z',b'20210221103343Z',10,1620479588.5965648
283,*.prod.ams3.secureserver.net,,,,,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",0.0,b'20200114185623Z',b'20220114185623Z',0,1620479588.7002437
288,*.azurewebsites.net,,,,,,Microsoft RSA TLS CA 01,Microsoft Corporation,0.0,b'20200928190001Z',b'20210928190001Z',0,1620479588.8083632
289,mail.beoganutrition.ie,,,,,,R3,Let's Encrypt,0.0,b'20210409154339Z',b'20210708154339Z',0,1620479588.9601943
292,*.zpr.io,,,,,,Amazon,Amazon,0.0,b'20210308000000Z',b'20220406235959Z',0,1620479589.811035
294,*.krosdigital.com.br,,,,,,R3,Let's Encrypt,0.0,b'20210330015548Z',b'20210628015548Z',0,1620479588.580045
298,web50.lws-hosting.com,,,,,,web50.lws-hosting.com,,0.0,b'20200721152713Z',b'20210721152713Z',18,1620479588.9290633
303,*.yastatic.net,Yandex LLC,RU,,,,Yandex CA,Yandex LLC,0.0,b'20210303133313Z',b'20210901133313Z',0,1620479588.6759746
304,mycollectorpower.com,,,,,,mycollectorpower.com,,0.0,b'20210315133238Z',b'20220315133238Z',18,1620479589.6300657
307,api-staging.almaahadeng.com,,,,,,R3,Let's Encrypt,0.0,b'20210307173652Z',b'20210605173652Z',0,1620479589.402139
310,www.amazccon.co-jp.cc,,,,,,R3,Let's Encrypt,0.0,b'20210412181604Z',b'20210711181604Z',0,1620479589.2339427
312,*.hostgator.mx,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20190823000000Z',b'20210903235959Z',0,1620479589.1904576
315,cpanel-centos-s-1vcpu-1gb-tor1-01,,,,,,cpanel-centos-s-1vcpu-1gb-tor1-01,,1.0,b'20200416140052Z',b'20210416140052Z',10,1620479589.7213547
316,almedan.cc,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210312000000Z',b'20210610235959Z',0,1620479588.965166
318,base.gremio.net,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,1.0,b'20190405000000Z',b'20200404235959Z',10,1620479589.0027208
321,d.sni.fastly.net,"Fastly, Inc.",US,,,,GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0.0,b'20190605183702Z',b'20210604225104Z',0,1620479589.6705391
323,*.mytrafficmanagement.com,,,,,,R3,Let's Encrypt,0.0,b'20210307233736Z',b'20210605233736Z',0,1620479588.6767976
328,*.ct.sendgrid.net,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",0.0,b'20200518191226Z',b'20220612013638Z',0,1620479589.2638388
329,*.aalishandreamhome.com,,,,,,R3,Let's Encrypt,0.0,b'20210308034720Z',b'20210606034720Z',0,1620479588.600338
330,sweet-sutherland.46-101-115-82.plesk.page,,,,,,R3,Let's Encrypt,0.0,b'20210301223711Z',b'20210530223711Z',0,1620479588.5932662
335,skom.id,,,,,,R3,Let's Encrypt,0.0,b'20210316232054Z',b'20210614232054Z',0,1620479589.1686184
338,sni-support-required-for-valid-ssl,,,,,,sni-support-required-for-valid-ssl,,0.0,b'20210412124421Z',b'20310410124421Z',18,1620479589.4688919
339,www.skrejieni.lv,,,,,,R3,Let's Encrypt,1.0,b'20210202062304Z',b'20210503062304Z',0,1620479589.2034051
340,www.cc-jp.cc,,,,,,R3,Let's Encrypt,0.0,b'20210412181617Z',b'20210711181617Z',0,1620479589.546945
341,msites-prod.xyz,,,,,,Amazon,Amazon,0.0,b'20210325000000Z',b'20220423235959Z',0,1620479589.2411072
346,www.ucscard.co.jp.okiae.com,,,,,,R3,Let's Encrypt,0.0,b'20210412104116Z',b'20210711104116Z',0,1620479589.5237236
353,default-ssl.default-host.net,,,,,,R3,Let's Encrypt,0.0,b'20210224171537Z',b'20210525171537Z',0,1620479588.5922327
354,vps-private.net,,,,,,R3,Let's Encrypt,0.0,b'20210322121959Z',b'20210620121959Z',0,1620479589.0872731
357,blue124.dnsmisitio.net,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20200806000000Z',b'20210806235959Z',0,1620479589.5095377
358,*.registrar-servers.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20201126000000Z',b'20211210235959Z',0,1620479589.244721
359,www.ataristan.com,,,,,,R3,Let's Encrypt,0.0,b'20210403111255Z',b'20210702111255Z',0,1620479588.9873948
